English,French
Records with duplicate account number and email will be ignored.,Les enregistrements avec un numéro de compte et un courrier électronique en double seront ignorés.
Account Details,details du compte
Mass Customer,Client de masse
Daily,du quotidien
Monthly,Mensuel
Prepaid,Prépayé
Postpaid,Port payé
Force Caller ID,Forcer l'identification de l'appelant
Customer Profile,Profil client
Caller Id Name,Nom de l'appelant
Caller Id Number,Numéro d'identification de l'appelant
Blocked Codes,Codes bloqués
Page will display only receipts and confirmed invoices.,La page n'affichera que les reçus et les factures confirmées.
Accessnumber Updated Successfully!,Numéro d'accès mis à jour avec succès!
Accessnumber Removed Successfully!,Numéro d'accès supprimé avec succès!
Invalid file format : Only CSV file allows to import records(Can't import empty file),Format de fichier invalide: seul le fichier CSV permet d'importer des enregistrements (impossible d'importer un fichier vide)
Please Select File.,Veuillez sélectionner un fichier.
 are required, sont requis
 is Required, est requis
 is not Valid, n'est pas valide
Duplicate accessnumber found from database,Numéro d'accès en double trouvé dans la base de données
Duplicate accessnumber found from import file.,Numéro d'accès en double trouvé dans le fichier d'importation.
Total,Total
AccessNumber Imported Successfully!,Numéro d'accès importé avec succès!
Records Not Imported:,Enregistrements non importés:
Back to AccessNumber List,Retour à la liste des numéros d'accès
Speed Dial Number Updated Successfully,Numéro abrégé mis à jour avec succès
Please insert only numeric value!,S'il vous plaît insérez seulement la valeur numérique!
Speed Dial Number Removed Successfully,Numéro abrégé supprimé avec succès
Speed Dial Number is Empty,Le numéro abrégé est vide
Sip Device removed successfully!,Sip Device supprimé avec succès!
Sip updated successfully!,Sip mis à jour avec succès!
Block Code Removed Sucessfully!,Le code de bloc a été supprimé avec succès!
Your Account Limit has been reached.Please Change Your Prefix.,Votre limite de compte a été atteinte.Veuillez modifier votre préfixe.
Please Enter Proper Account Length.,S'il vous plaît entrer la longueur du compte approprié.
Bulk customer generate successfully!,Client en vrac générer avec succès!
Recharge successfully!,Rechargez avec succès!
Post charge applied successfully.,Frais postaux appliqués avec succès.
Account callerID updated successfully!,Compte callerID mis à jour avec succès!
Account callerID added successfully!,Compte callerID ajouté avec succès!
Reseller updated successfully!,Revendeur mis à jour avec succès!
Reseller added successfully!,Revendeur ajouté avec succès!
Updated successfully!,Mis à jour avec succés!
Added Successfully!,Ajouté avec succès!
Customer batch updated successfully!,Lot de clients mis à jour avec succès!
Reseller batch updated successfully!,Lot revendeur mis à jour avec succès!
Customer Removed Successfully!,Client supprimé avec succès!
Reseller Removed Successfully!,Revendeur supprimé avec succès!
Provider Removed Successfully!,Fournisseur supprimé avec succès!
Admin Removed Successfully!,Admin supprimé avec succès!
Sub Admin Removed Successfully!,Sous-administrateur supprimé avec succès!
DID Added Successfully.,DID ajouté avec succès.
DID Already Removed Before.,A-t-il déjà été retiré auparavant?
Account Tax Added Successfully!,Compte de taxe ajouté avec succès!
Account Tax Removed Successfully!,Impôt sur le compte supprimé avec succès!
Product Removed Sucessfully.,Produit supprimé avec succès.
Email Resend Successfully!,Email resend avec succès!
Email List Updated Successfully!,Liste de diffusion mise à jour avec succès!
Email List Added Successfully!,Liste de courrier électronique ajoutée avec succès!
Email Removed Successfully!,Email supprimé avec succès!
Please Try Again!,Veuillez réessayer!
Email BroadCast Successfully!,Email BroadCast avec succès!
No Record Found!,Aucun Enregistrement Trouvé!
Email Address Not Found!,Adresse e-mail introuvable!
Edit Freeswitch SIP Devices,Modifier les périphériques SIP Freeswitch
Create Freeswitch SIP Devices,Créer des périphériques SIP Freeswitch
Gateway Updated Successfully!,Gateway mis à jour avec succès!
Gateways already exist in system.,Les passerelles existent déjà dans le système.
Gateway name must not have any space.,Le nom de la passerelle ne doit avoir aucun espace.
Gateway Added Successfully!,Gateway ajouté avec succès!
Gateway Removed Successfully!,Passerelle supprimée avec succès!
Please enter All profile value!,S'il vous plaît entrer toute la valeur du profil!
SIP Profile name must not have any space!,Le nom du profil SIP ne doit pas avoir d'espace!
Duplicate SIP IP OR Port found it must be unique!,"Dupliquer SIP IP ou le port trouvé, il doit être unique!"
SIP Profile Added Successfully!,Profil SIP ajouté avec succès!
Name must be unique!,Le nom doit être unique!
SIP Profile Updated Successfully!,Profil SIP mis à jour avec succès!
SIP Setting Added Successfully!,Paramètre SIP ajouté avec succès!
SIP Setting Updated Successfully!,Paramètre SIP mis à jour avec succès!
SIP Setting Removed Successfully!,Paramètre SIP supprimé avec succès!
SIP Profile Removed Successfully!,Profil SIP supprimé avec succès!
Host Already Exist in System.,L'hôte existe déjà dans le système.
Freeswitch Server Updated Successfully!,Freeswitch Server mis à jour avec succès!
Freeswitch Server Added Successfully!,Freeswitch Server ajouté avec succès!
Freeswitch Server Removed Successfully!,Freeswitch Server supprimé avec succès!
Invoice updated successfully!,Facture mise à jour avec succès!
Invoice payment done successfully!,Paiement de facture effectué avec succès!
Account Not Found.,Compte non trouvé.
Invoice payment amount should be higher then the invoice amount.,Le montant du paiement de la facture doit être supérieur au montant de la facture.
The Favicon file size shoud not exceed 1MB!,La taille du fichier Favicon ne doit pas dépasser 1 Mo!
Please upload 250 * 60 size file,Veuillez télécharger un fichier de taille 250 * 60
Logo only allows file types of JPG and JPEG.,Logo n'autorise que les types de fichiers JPG et JPEG.
"Favicon only allows file types of ICO, PNG, JPG and JPEG.","Favicon n'autorise que les types de fichiers ICO, PNG, JPG et JPEG."
Please upload 16 * 16 size of favicon.,S'il vous plaît télécharger 16 * 16 taille de favicon.
Company profile updated sucessfully!,Profil de l'entreprise mis à jour avec succès!
Company profile added sucessfully!,Profil de l'entreprise ajouté avec succès!
Permission Denied.,Permission refusée.
is Deleted Sucessfully!,est supprimé avec succès!
To date should not be greater than current date.,"À ce jour, ne doit pas dépasser la date actuelle."
Invoice generation completed.,La génération de la facture est terminée.
No data found,Aucune donnée disponible
Invoices removed successfully,Factures supprimées avec succès
The Prefix field must contain a unique value.,Le champ Préfixe doit contenir une valeur unique.
The IP field must contain a unique value.,Le champ IP doit contenir une valeur unique.
IP Map added successfully!,IP Map ajouté avec succès!
IP Map removed successfully!,Carte IP supprimée avec succès!
Localization Added Successfully!,Localisation ajoutée avec succès!
Localization Updated Successfully!,Localisation mise à jour avec succès!
Localization Removed Successfully!,Localisation supprimée avec succès!
Globalization is already exist in this system,La mondialisation existe déjà dans ce système
Dispatcher Updated Successfully!,Dispatcher mis à jour avec succès!
Dispatcher Added Successfully!,Dispatcher ajouté avec succès!
Dispatcher Removed Successfully!,Dispatcher supprimé avec succès!
Code is already in system,Le code est déjà dans le système
Country is already in system,Le pays est déjà dans le système
Ratedeck updated successfully!,Ratedeck mis à jour avec succès!
Ratedeck added successfully!,Ratedeck ajouté avec succès!
Ratedeck removed successfully!,Ratedeck enlevé avec succès!
Duplicate Ratedeck Number found from import file.,Duplicate Ratedeck Nombre trouvé dans le fichier d'importation.
Ratedeck Imported Successfully!,Ratedeck a été importé avec succès!
Ratedeck Import Error,Erreur d'importation Ratedeck
Back to Ratedeck List,Retour à la liste Ratedeck
Origination Rate Imported Successfully!,Taux d'origination importé avec succès!
Origination Rate Updated Successfully!,Taux d'origination mis à jour avec succès!
Origination Rate Added Successfully!,Taux d'origination ajouté avec succès!
Termination Rates Batch Updated Successfully!,Taux de résiliation Lot mis à jour avec succès!
Map CSV to Termination Rates,Carte CSV à taux de terminaison
Data Example,Exemple de données
Map to Field,Carte vers le terrain
PREFIX/DEFAULT VALUE,PREFIX / VALEUR PAR DEFAUT
ASTPP Field,Domaine ASTPP
Created,Créé
Modified,Modifié
You can not create,Vous ne pouvez pas créer
Refill coupon with,Recharge coupon avec
You can create maximum,Vous pouvez créer un maximum
Refill coupon created successfully!,Le coupon de recharge créé avec succès!
Currency Added Successfully!,Monnaie ajoutée avec succès!
Currency Removed Successfully!,Monnaie enlevée avec succès!
Backup Exported Successfully!,Sauvegarde exportée avec succès!
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,Une erreur se produit lorsque le système a tenté de sauvegarder la base de données. Veuillez vérifier vos paramètres système pour la section de sauvegarde
Database Restore successfully.,Restauration de la base de données avec succès.
File not exists!,Le fichier n'existe pas!
There is a some issue or invalid file format.,Il existe un problème ou un format de fichier non valide.
Database backup deleted successfully.,La sauvegarde de la base de données a été supprimée avec succès.
Languages updated successfully!,Langues mises à jour avec succès!
Languages removed successfully!,Langues supprimées avec succès!
Languages added successfully!,Langues ajoutées avec succès!
Translation updated successfully!,Traduction mise à jour avec succès!
Translation added successfully!,Traduction ajoutée avec succès!
Update Languages,Mise à jour des langues
Speed Dial,Numérotation abrégée
Payment,Paiement
Method,Méthode
"Once you confirm the invoice, you will no longer able to update it again.","Une fois la facture confirmée, vous ne pourrez plus la mettre à jour."
Payment Gateway Permission,Permission de passerelle de paiement
Zip Code,Code postal
Yes,Oui
Back,Retour
Edit Reseller,Modifier le revendeur
Asignar DID a granel,Asignar a fait un granel
DIDs Search,Recherche DID
By Month,Par mois
Create Gateway,Créer une passerelle
Calling Card Language,Langue de la carte d'appel
Last,Dernier
Pay Date,Date de paye
Purchase DID,Achat DID
Caller-ID-A-Form,Caller-ID-A-Form
Expire Seconds,Expire les secondes
Termination Date,Date de résiliation
Registration Date,Date d'inscription
Payment By,Paiement par
Product Status,État du produit
Minute,Minute
Hour,Heure
Day,journée
Month,Mois
Year,Année
List,liste
Edit,modifier
Not Avaialable any Subscription.,Pas possible de s'abonner.
Not Avaialable any Package for this Country.,Pas de paquet disponible pour ce pays.
You can only transfer fund in same level account.,Vous ne pouvez transférer des fonds que sur un compte de même niveau.
You can not transfer fund in same account.,Vous ne pouvez pas transférer de fonds dans le même compte.
Monthly Fee,Redevance mensuelle
Bulk DID Assign,Affectation en bloc DID
Invoice Start From,Facture à partir de
Edit Gateway,Modifier la passerelle
Number Of Default Rows,Nombre de lignes par défaut
Mobile Dialer,Numéroteur mobile
Trunk Count,Nombre de tronc
Welcome File,Fichier de bienvenue
Local Call Timeout (Sec.),Délai d'appel local (sec.)
Rate check for DID,Contrôle de taux pour DID
DID Localization,Localisation DID
Voicemail Number,Numéro de messagerie vocale
OTP Expire Time(min),Durée d'expiration du mot de passe (min)
Edit Provider,Edit Provider
Product Summary Reports,Rapports de synthèse du produit
Edit Origination Rate,Modifier le taux d'origination
Dialplan Variable,Variable Dialplan
Uninstall,Désinstaller
Call Stat,Appelez Stat
Failed Calls,Appels échoués
Top 10 Countries,Top 10 pays
By Minutes,Par minutes
By Calls,Par appels
Telephone number is only numeric,Le numéro de téléphone est seulement numérique
Please enter valid Captcha code,Veuillez entrer un code Captcha valide
Please contact to administrator,S'il vous plaît contacter à l'administrateur
Requested email is already exist,Le courriel demandé existe déjà
Requested number is already exist,Le numéro demandé existe déjà
Please enter correct words!,S'il vous plaît entrer les mots corrects!
THIS IS REQUIRED!,CECI EST REQUIS!
Your account has been deleted. Please contact administrator for more information.,Votre compte a été supprimé. Veuillez contacter l'administrateur pour plus d'informations.
Your account is inactive. Please contact administrator for more information.,Votre compte est inactif. Veuillez contacter l'administrateur pour plus d'informations.
Please enter proper Email.,S'il vous plaît entrer le bon email.
Please enter proper Username.,Veuillez entrer le nom d'utilisateur approprié.
This Username or Email is not valid.,Ce nom d'utilisateur ou cet email n'est pas valide.
ASTPP - A Smart TelePhony Platform,ASTPP - Une plate-forme Smart TelePhony
Forgot Password,Mot de passe oublié
ASTPP work best with JavaScript enabled,ASTPP fonctionne mieux avec JavaScript activé
Enter Your Password,Tapez votre mot de passe
Confirm Password,Confirmez le mot de passe
The Email field is Required,Le champ Email est obligatoire
The Account Number field is Required,Le champ Numéro de compte est obligatoire.
Set Default Language,Définir la langue par défaut
Please Re-login to get Impact of selected language.,Veuillez vous reconnecter pour obtenir l'impact de la langue sélectionnée.
Default Language,Langage par défaut
Signup now!,S'inscrire maintenant!
Forgot Password?,Mot de passe oublié?
Sign in,se connecter
Username OR Email,Nom d'utilisateur ou email
Username is Required,Nom d'utilisateur est nécessaire
Password is Required,Mot de passe requis
"Please Check Your account is deleted or inactive from admin side, please contact to your administrator","Veuillez vérifier que votre compte est supprimé ou inactif de l’administrateur, veuillez contacter votre administrateur."
Please do not use default or less secure password for your account!! You must change password from,N'utilisez pas de mot de passe par défaut ou moins sécurisé pour votre compte! Vous devez changer le mot de passe de
HERE,ICI
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active",Échec de la connexion. Assurez-vous d'avoir entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif.
Please enter Username/email and Password.,Veuillez saisir votre nom d'utilisateur / email et votre mot de passe.
Payment transaction invalid. Please contact Administrator.,Opération de paiement invalide. S'il vous plaît contacter l'administrateur.
Log In,S'identifier
Please Enter Password,Veuillez entrer le mot de passe
"Password must be at least 8 characters and must contain at least one lower case letter, one upper case letter and one digit","Le mot de passe doit comporter au moins 8 caractères et au moins une lettre minuscule, une lettre majuscule et un chiffre."
Please Enter Confirm Password,Veuillez entrer votre mot de passe
Confirm Password is not match,Confirmer que le mot de passe ne correspond pas
We sent update password link.,Nous avons envoyé le lien de mot de passe de mise à jour.
Please check your Email!,Merci de consulter vos emails!
Login,S'identifier
OTP Verification,Vérification OTP
OTP Number is Required,Le numéro OTP est requis
Your account created successfully and account details sent to your registered email address,Votre compte a été créé avec succès et les détails de votre compte ont été envoyés à votre adresse e-mail enregistrée.
Your password change successfully and new password sent to your registered email address,Votre mot de passe a bien été modifié et un nouveau mot de passe a été envoyé à votre adresse e-mail enregistrée.
OTP Number is Wrong Please try again Or OTP expire Please Resend,Le numéro OTP est incorrect. Veuillez réessayer ou expirer. OTP Renvoyer.
OTP has been sent on your email or Telephone number,OTP a été envoyé sur votre email ou votre numéro de téléphone
OTP,OTP
Resend OTP,Renvoyer OTP
OTP Sent time Out,OTP Envoyé Time Out
Not Get OTP ?,Pas obtenir OTP?
Note:,Remarque:
Please make sure do not refresh the page or don't go back,Assurez-vous de ne pas actualiser la page ou de ne pas revenir en arrière
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active.",Échec de la connexion. Assurez-vous que vous avez entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif.
Your account has been created successfully!,Votre compte a été créé avec succès!
Here is your login information,Voici vos informations de connexion
Link is Expire Please Try Again,Link is Expire Please Try Again
"Sorry, we cannot process for singup at this time.","Désolé, nous ne pouvons pas traiter pour singup pour le moment."
Please contact administrator for more information,S'il vous plaît contacter l'administrateur pour plus d'informations
Successful!,Réussi!
Captcha is required,Captcha est requis
First Name is Required,Le prénom est requis
Telephone is Required,Le téléphone est requis
Email is Required,Email est requis
Please enter a valid email address,"S'il vous plaît, mettez une adresse email valide"
"Please make sure you entered the correct username and password, and that your account is active.",Assurez-vous d'avoir entré le nom d'utilisateur et le mot de passe corrects et que votre compte est actif.
Company Name,Nom de la compagnie
Enter above Captcha,Entrez ci-dessus Captcha
Sign up,S'inscrire
Already Registered !,Déjà enregistré !
January,janvier
February,février
March,Mars
April,avril
May,Peut
June,juin
July,juillet
August,août
September,septembre
October,octobre
November,novembre
December,décembre
Doesn't Contain,Ne contient pas
Greater Than,Plus grand que
Less Than,Moins que
Greater Or Equal Than,Supérieur ou égal à
Less Or Equal Than,Moins ou égal à
Set To,Mis à
Increase By,Augmenté de
Decrease By,Diminuer de
Community,Communauté
You must either select a field from your file OR provide a default value for the following fields:,Vous devez soit sélectionner un champ dans votre fichier OU fournir une valeur par défaut pour les champs suivants:
Note : Records with duplicate account number and email will be ignored.,Remarque: Les enregistrements avec un numéro de compte en double et un courrier électronique seront ignorés.
Map CSV to Customers,Mappage CSV aux clients
Account Information,Information sur le compte
Select Account,Sélectionnez un compte
DEFAULT VALUE,VALEUR PAR DÉFAUT
SIP Username,Nom d'utilisateur SIP
sip_username,sip_username
SIP Password,Mot de passe SIP
Same as Password,Identique au mot de passe
Same as Account Number,Identique au numéro de compte
Random,au hasard
Import File Data.,Données du fichier d'importation.
Process Records,Enregistrements de processus
Note : Duplicate accounts with account number / email are ignored.,Remarque: Les comptes en double avec numéro de compte / email sont ignorés.
Remove,Retirer
Number of Account,Nombre de compte
Account Number Length,Longueur du numéro de compte
"DID (CLI Match, If not matched then use random allocated DID)","DID (correspondance de la CLI, si elle ne correspond pas, utiliser une DID attribuée de manière aléatoire)"
"Caller Id (CLI Match, If not matched then use random allocated Caller Id)","Identification de l'appelant (correspondance CLI, si aucune correspondance n'est utilisée, utilisez une identification de l'appelant allouée aléatoirement)"
Use NON-CLI Rate Group (If CLI not match with DID),Utiliser le groupe de taux NON-CLI (si la CLI ne correspond pas à DID)
Use NON-CLI Rate Group (If CLI not match with Caller ID),Utiliser un groupe tarifaire NON CLI (si la CLI ne correspond pas à l'ID de l'appelant)
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),Utiliser le groupe tarifaire NON CLI (si la CLI ne correspond pas à DID et à l'identification de l'appelant)
Reject Call (If CLI not match with DID),Rejeter l'appel (si la CLI ne correspond pas à DID)
Reject Call (If CLI not match with Caller ID),Rejeter l'appel (si la CLI ne correspond pas à l'ID de l'appelant)
Reject Call (If CLI not match with DID & Caller id),Rejeter l'appel (si la CLI ne correspond pas à DID et à l'identification de l'appelant)
--Select--,--Sélectionner--
Test Mail,E-mail test
Reset Password,réinitialiser le mot de passe
AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIE
ALGERIA,ALGÉRIE
AMERICAN SAMOA,SAMOA AMÉRICAINE
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTIGUA & BARBUDA,ANTIGUA ET BARBUDA
ARGENTINA,ARGENTINE
ARMENIA,ARMÉNIE
ARUBA,ARUBA
AUSTRALIA,AUSTRALIE
AUSTRIA,L'AUTRICHE
AZERBAIJAN,AZERBAÏDJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHREIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADE
BELARUS,BÉLARUS
BELGIUM,BELGIQUE
BELIZE,Belize
BENIN,BENIN
BERMUDA,BERMUDES
BHUTAN,Bhoutan
BOLIVIA,BOLIVIE
BOSNIA AND HERZEGOVINA,BOSNIE HERZÉGOVINE
BOTSWANA,BOTSWANA
BRAZIL,BRÉSIL
BRITISH VIRGIN ISLANDS,ÎLES VIERGES BRITANNIQUES
BRUNEI,BRUNEI
BULGARIA,BULGARIE
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBODGE
CAMEROON,CAMEROUN
CANADA,CANADA
CAPE VERDE,CAP-VERT
CAYMAN ISLANDS,ÎLES CAÏMANS
CENTRAL AFRICAN REPUBLIC,RÉPUBLIQUE CENTRAFRICAINE
CHAD,TCHAD
CHILE,CHILI
CHINA,CHINE
COLOMBIA,COLOMBIE
COMOROS,COMORES
CONGO,CONGO
COSTA RICA,COSTA RICA
CROATIA,CROATIE
CUBA,CUBA
CYPRUS,CHYPRE
CZECH REPUBLIC,RÉPUBLIQUE TCHÈQUE
DEMOCRATIC REPUBLIC,RÉPUBLIQUE DÉMOCRATIQUE
DENMARK,DANEMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,RÉPUBLIQUE DOMINICAINE
ECUADOR,ÉQUATEUR
EGYPT,EGYPTE
EL SALVADOR,LE SALVADOR
EQUATORIAL GUINEA,GUINÉE ÉQUATORIALE
ERITREA,ERYTHREE
ERITREA,ERYTHREE
ETHIOPIA,ETHIOPIE
FAEROE ISLANDS,ÎLES FAEROE
FIJI ISLANDS,ILES FIJI
FINLAND,FINLANDE
FRANCE,FRANCE
FRENCH GUIANA,GUINÉE FRANÇAISE
FRENCH POLYNESIA,POLYNÉSIE FRANÇAISE
GABON,GABON
GAMBIA,GAMBIE
GEORGIA,GÉORGIE
GERMANY,ALLEMAGNE
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GRÈCE
GRENADA,GRENADE
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINÉE
GUINEA BISSAU,GUINEE BISSAU
GUYANA,GUYANE
HAITI,HAÏTI
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,HONGRIE
ICELAND,ISLANDE
INDIA,INDE
INDONESIA,INDONÉSIE
IRAN,IRAN
IRAQ,IRAK
IRELAND,IRLANDE
ISRAEL,ISRAËL
ITALY,ITALIE
IVORY COAST,CÔTE D'IVOIRE
JAMAICA,JAMAÏQUE
JAPAN,JAPON
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KOSOVO,KOSOVO
KUWAIT,KOWEIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LETTONIE
LEBANON,LIBAN
LESOTHO,LESOTHO
LIBERIA,LIBÉRIA
LIBYA,LIBYE
LIECHTENSTEIN,LIECHTENSTEIN
LITHUANIA,LITUANIE
LUXEMBOURG,LUXEMBOURG
MACAU,MACAO
MACEDONIA,MACÉDOINE
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALAISIE
MALI,MALI
MALTA,MALTE
MARSHALL ISLANDS,ILES MARSHALL
MARTINIQUE,MARTINIQUE
MAURITANIA,MAURITANIE
MAURITIUS,MAURICE
MEXICO,MEXIQUE
MICRONESIA,MICRONESIE
MOLDOVA,MOLDOVA
MONACO,MONACO
MONGOLIA,MONGOLIE
MONTENEGRO,MONTÉNÉGRO
MONTSERRAT,MONTSERRAT
MOROCCO,MAROC
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
NAMIBIA,NAMIBIE
NEPAL,NÉPAL
NETHERLANDS,PAYS-BAS
NEW CALEDONIA,NOUVELLE CALÉDONIE
NEW ZEALAND,NOUVELLE-ZÉLANDE
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NO. MARIANA ISLANDS,NON. ÎLES MARIANA
NORTH KOREA,CORÉE DU NORD
NORWAY,NORVÈGE
OMAN,OMAN
PAKISTAN,PAKISTAN
PALAU,PALAU
PANAMA,PANAMA
PARAGUAY,PARAGUAY
PERU,PÉROU
PHILIPPINES,PHILIPPINES
POLAND,POLOGNE
PORTUGAL,LE PORTUGAL
PUERTO RICO,PORTO RICO
QATAR,QATAR
REUNION ISLAND,ILE DE LA RÉUNION
ROMANIA,ROUMANIE
RUSSIAN FEDERATION,FÉDÉRATION RUSSE
RWANDA,RWANDA
SAN MARINO,SAINT MARIN
SAUDI ARABIA,ARABIE SAOUDITE
SENEGAL,SÉNÉGAL
SERBIA,SERBIE
SEYCHELLES ISLANDS,ÎLES SEYCHELLES
SIERRA LEONE,SIERRA LEONE
SINGAPORE,SINGAPOUR
SLOVAKIA,SLOVAQUIE
SLOVENIA,SLOVENIE
SOMALIA,SOMALIE
SOUTH AFRICA,AFRIQUE DU SUD
SOUTH KOREA,CORÉE DU SUD
SOUTH SUDAN,SOUDAN DU SUD
SPAIN,ESPAGNE
SRI LANKA,SRI LANKA
ST. KITTS,ST. KITTS
ST. LUCIA,ST. LUCIA
ST. MARTIN,ST. MARTIN
ST. PIERRE & MIQUELON,ST. PIERRE & MIQUELON
ST. VINCENT,ST. VINCENT
SUDAN,SOUDAN
SURINAME,SURINAME
SWAZILAND,SWAZILAND
SWEDEN,SUÈDE
SWITZERLAND,SUISSE
SYRIA,SYRIE
TAIWAN,TAÏWAN
TAJIKISTAN,Tadjikistan
TANZANIA,TANZANIE
THAILAND,THAÏLANDE
TRINIDAD & TOBAGO,TRINITE ET TOBAGO
TUNISIA,TUNISIE
TURKEY,DINDE
TURKMENISTAN,TURKMENISTAN
TURKS & CAICOS ISLANDS,ILES TURKS ET CAICOS
UGANDA,OUGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,EMIRATS ARABES UNIS
UNITED KINGDOM,ROYAUME-UNI
URUGUAY,URUGUAY
US VIRGIN ISLANDS,ÎLES VIERGES AMÉRICAINES
United States,États Unis
UZBEKISTAN,Ouzbékistan
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YÉMEN
ZAMBIA,ZAMBIE
ZIMBABWE,ZIMBABWE
ASCENSION,ASCENSION
COOK ISLANDS,LES ÎLES COOK
EAST TIMOR,TIMOR ORIENTAL
FALKLAND ISLANDS,LES ÎLES FALKLAND
GREENLAND,GROENLAND
KIRIBATI,KIRIBATI
MALDIVES,MALDIVES
NAURU,NAURU
Albanian Lek,Lek albanais
Algerian Dinar,Dinar algérien
Aluminium Ounces,Onces d'aluminium
Argentine Peso,Peso argentin
Aruba Florin,Florin d'Aruba
Australian Dollar,Dollar australien
Bahamian Dollar,Dollar des Bahamas
Bahraini Dinar,Dinar bahreïni
Bangladesh Taka,Bangladesh Taka
Barbados Dollar,Dollar de la Barbade
Belarus Ruble,Rouble Biélorusse
Belize Dollar,Dollar de Belize
Bermuda Dollar,Dollar des Bermudes
Bhutan Ngultrum,Bhoutan Ngultrum
Bolivian Boliviano,Boliviano bolivien
Brazilian Real,Real brésilien
British Pound,Livre sterling
Brunei Dollar,Dollar de Brunei
Bulgarian Lev,Lev bulgare
Burundi Franc,Franc burundais
Cambodia Riel,Cambodge Riel
Canadian Dollar,Dollar canadien
Cayman Islands Dollar,Dollar des îles Caïman
CFA Franc (BCEAO),Franc CFA (BCEAO)
CFA Franc (BEAC),Franc CFA (BEAC)
Chilean Peso,Peso chilien
Chinese Yuan,Le yuan chinois
Colombian Peso,Peso colombien
Comoros Franc,Franc comorien
Copper Ounces,Onces de cuivre
Costa Rica Colon,Costa Rica Colon
Croatian Kuna,Kuna Croate
Cuban Peso,Peso cubain
Cyprus Pound,Livre chypriote
Czech Koruna,Couronne tchèque
Danish Krone,Couronne danoise
Dijibouti Franc,Franc de Dijibouti
Dominican Peso,Peso Dominicain
East Caribbean Dollar,Dollar des Caraïbes orientales
Ecuador Sucre,Équateur Sucre
Egyptian Pound,Livre égyptienne
El Salvador Colon,El Salvador Colon
Eritrea Nakfa,Erythrée Nakfa
Estonian Kroon,Couronne estonienne
Ethiopian Birr,Birr éthiopien
Euro,euro
Falkland Islands Pound,Livre des îles Falkland
Gambian Dalasi,Dalasi gambien
Ghanian Cedi,Ghanian cedi
Gibraltar Pound,Livre de Gibraltar
Gold Ounces,Onces d'or
Guatemala Quetzal,Guatemala Quetzal
Guinea Franc,Franc guinéen
Haiti Gourde,Haiti Gourde
Honduras Lempira,Honduras Lempira
Hong Kong Dollar,Dollar de Hong Kong
Hungarian ForINT,Forint hongrois
Iceland Krona,Couronne islandaise
Indian Rupee,Roupie indienne
Indonesian Rupiah,Roupie indonésienne
Iran Rial,Rial iranien
Israeli Shekel,Shekel Israélien
Jamaican Dollar,Dollar jamaïcain
Japanese Yen,Yen japonais
Jordanian Dinar,Dinar jordanien
Kazakhstan Tenge,Kazakhstan Tenge
Kenyan Shilling,Shilling Kenyan
Korean Won,Won coréen
Kuwaiti Dinar,Dinar koweïtien
Lao Kip,Lao Kip
Latvian Lat,Lat letton
Lebanese Pound,Livre libanaise
Lesotho Loti,Loti Lesotho
Libyan Dinar,Dinar libyen
Lithuanian Lita,Lita lituanienne
Macau Pataca,Pataca de Macao
Macedonian Denar,Denar macédonien
Malagasy Franc,Franc malgache
Malawi Kwacha,Kwacha du Malawi
Malaysian Ringgit,cloche malaisienne
Maldives Rufiyaa,Maldives Rufiyaa
Maltese Lira,Lire maltaise
Mauritania Ougulya,Mauritanie Ougulya
Mauritius Rupee,Roupie mauricienne
Mexican Peso,Peso Mexicain
Moldovan Leu,Leu moldave
Mongolian Tugrik,Tugrik mongol
Moroccan Dirham,Dirham Marocain
Mozambique Metical,Mozambique Metical
Namibian Dollar,Dollar namibien
Nepalese Rupee,Roupie Népalaise
Neth Antilles Guilder,Gulden Antilles Néerlandaises
New Turkish Lira,Nouvelle livre turque
New Zealand Dollar,Dollar néo-zélandais
